iteration,fidelity,n_samples,water_shielding_mm,veto_thickness_mm,y_cnp,y_cnp_err,y_raw,log_prop,bce
0.00000,0.00000,1000.00000,76.20000,50.00000,0.22750,0.02192,0.02800,0.67046,0.33633
0.00000,0.00000,1000.00000,46.20000,80.00000,0.26062,0.02192,0.02800,0.69166,0.38941
0.00000,0.00000,1000.00000,36.20000,90.00000,0.27852,0.02192,0.05200,0.70018,0.40611
0.00000,0.00000,1000.00000,66.20000,60.00000,0.23682,0.02192,0.02900,0.67213,0.33948
0.00000,0.00000,1000.00000,26.20000,100.00000,0.29515,0.02192,0.04500,0.71289,0.44321
0.00000,0.00000,1000.00000,86.20000,40.00000,0.20115,0.02192,0.03300,0.63808,0.26044
0.00000,0.00000,1000.00000,56.20000,70.00000,0.25613,0.02192,0.03000,0.68212,0.36935
0.00000,0.00000,1000.00000,106.20000,20.00000,0.16115,0.02192,0.02100,0.61752,0.20770
0.00000,0.00000,1000.00000,96.20000,30.00000,0.17879,0.02192,0.01900,0.63968,0.25825
0.00000,0.00000,1000.00000,76.20000,50.00000,0.22776,0.02192,0.02300,0.67167,0.34423
0.00000,0.00000,1000.00000,46.20000,80.00000,0.26607,0.02192,0.04200,0.69266,0.39131
0.00000,0.00000,1000.00000,36.20000,90.00000,0.28518,0.02192,0.04400,0.70875,0.42650
0.00000,0.00000,1000.00000,66.20000,60.00000,0.24503,0.02192,0.03500,0.68012,0.36049
0.00000,0.00000,1000.00000,26.20000,100.00000,0.26161,0.02192,0.03000,0.69200,0.39124
0.00000,0.00000,1000.00000,86.20000,40.00000,0.19124,0.02192,0.02700,0.63457,0.25285
0.00000,0.00000,1000.00000,56.20000,70.00000,0.24888,0.02192,0.03300,0.67815,0.35729
0.00000,0.00000,1000.00000,106.20000,20.00000,0.17340,0.02192,0.03000,0.62092,0.21684
0.00000,0.00000,1000.00000,96.20000,30.00000,0.18447,0.02192,0.03200,0.63999,0.26404
0.00000,0.00000,1000.00000,76.20000,50.00000,0.22907,0.02192,0.03200,0.67289,0.33983
0.00000,0.00000,1000.00000,46.20000,80.00000,0.24803,0.02192,0.03400,0.67806,0.35629
0.00000,0.00000,1000.00000,36.20000,90.00000,0.26226,0.02192,0.03700,0.68831,0.38176
0.00000,0.00000,1000.00000,66.20000,60.00000,0.23516,0.02192,0.02700,0.67207,0.34257
0.00000,0.00000,1000.00000,26.20000,100.00000,0.27129,0.02192,0.04600,0.68914,0.38020
0.00000,0.00000,1000.00000,86.20000,40.00000,0.20115,0.02192,0.03300,0.63808,0.26043
0.00000,0.00000,1000.00000,56.20000,70.00000,0.25611,0.02192,0.03000,0.68211,0.36931
